movieId,title,genres,rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.921239561324077
2,Jumanji (1995),Adventure|Children|Fantasy,3.2119768016904193
3,Grumpier Old Men (1995),Comedy|Romance,3.1510404397330194
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.8613933236574747
5,Father of the Bride Part II (1995),Comedy,3.064591727653976
6,Heat (1995),Action|Crime|Thriller,3.8349303318130468
7,Sabrina (1995),Comedy|Romance,3.3664840675873777
8,Tom and Huck (1995),Adventure|Children,3.142049469964664
9,Sudden Death (1995),Action,3.0049242424242424
10,GoldenEye (1995),Action|Adventure|Thriller,3.430029305292191
11,"American President, The (1995)",Comedy|Drama|Romance,3.667712806959586
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.6197659297789335
13,Balto (1995),Adventure|Animation|Children,3.272416153319644
14,Nixon (1995),Drama,3.432082364662903
15,Cutthroat Island (1995),Action|Adventure|Romance,2.7219931271477664
16,Casino (1995),Crime|Drama,3.7874554444061173
17,Sense and Sensibility (1995),Drama|Romance,3.9685730875308463
18,Four Rooms (1995),Comedy,3.3736305977320775
19,Ace Ventura: When Nature Calls (1995),Comedy,2.6074123603018435
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.8807541625857005
21,Get Shorty (1995),Comedy|Crime|Thriller,3.581688505556477
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.319399677679291
23,Assassins (1995),Action|Crime|Thriller,3.1482352941176472
24,Powder (1995),Drama|Sci-Fi,3.199849454271735
25,Leaving Las Vegas (1995),Drama|Romance,3.689509581032803
26,Othello (1995),Drama,3.628856624319419
27,Now and Then (1995),Children|Drama,3.413520097442144
28,Persuasion (1995),Drama|Romance,4.057545973367152
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,3.952230046948357
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.633879781420765
31,Dangerous Minds (1995),Drama,3.250344462109168
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.8980546909737663
33,Wings of Courage (1995),Adventure|Romance|IMAX,3.0076923076923077
34,Babe (1995),Children|Drama,3.6430940939389242
35,Carrington (1995),Drama|Romance,3.5016744809109177
36,Dead Man Walking (1995),Crime|Drama,3.9427170935652844
37,Across the Sea of Time (1995),Documentary|IMAX,3.0176470588235293
38,It Takes Two (1995),Children|Comedy,2.857789855072464
39,Clueless (1995),Comedy|Romance,3.413632208425383
40,"Cry, the Beloved Country (1995)",Drama,3.646726862302483
41,Richard III (1995),Drama|War,3.8521006611217743
42,Dead Presidents (1995),Action|Crime|Drama,3.0551276854479124
43,Restoration (1995),Drama,3.4684561128526648
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.653874918201365
45,To Die For (1995),Comedy|Drama|Thriller,3.3843613567670436
46,How to Make an American Quilt (1995),Drama|Romance,3.2748829953198126
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,4.053492566302111
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,2.9461137513414073
49,When Night Is Falling (1995),Drama|Romance,3.5847457627118646
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.334372207803259
51,Guardian Angel (1994),Action|Drama|Thriller,2.5555555555555554
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.541148068669528
53,Lamerica (1994),Adventure|Drama,3.6966666666666668
54,"Big Green, The (1995)",Children|Comedy,2.8546025104602513
55,Georgia (1995),Drama,3.241214057507987
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,1.8714285714285714
57,Home for the Holidays (1995),Drama,3.324518245182452
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,3.978396397956533
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3.56020942408377
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.114446380484714
61,Eye for an Eye (1996),Drama|Thriller,3.3231039017974573
62,Mr. Holland's Opus (1995),Drama,3.7318249832309993
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,3.06662382176521
64,Two if by Sea (1996),Comedy|Romance,2.829817833173538
65,Bio-Dome (1996),Comedy,2.3942228618421053
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.144242935470266
67,Two Bits (1995),Drama,3.35
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4369951534733443
69,Friday (1995),Comedy,3.560634328358209
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.2774543738200124
71,Fair Game (1995),Action,2.3552123552123554
72,Kicking and Screaming (1995),Comedy|Drama,3.502439024390244
73,"Misérables, Les (1995)",Drama|War,3.8067681895093064
74,Bed of Roses (1996),Drama|Romance,3.3022196926579395
75,Big Bully (1996),Comedy|Drama,2.4623655913978495
76,Screamers (1995),Action|Sci-Fi|Thriller,3.0090236686390535
77,Nico Icon (1995),Documentary,3.429864253393665
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.180668841761827
79,"Juror, The (1996)",Drama|Thriller,3.1285456187895213
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,3.7243478260869565
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.267373013399813
82,Antonia's Line (Antonia) (1995),Comedy|Drama,4.004925137903862
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.653198653198653
84,Last Summer in the Hamptons (1995),Comedy|Drama,3.4177215189873418
85,Angels and Insects (1995),Drama|Romance,3.531134856300663
86,White Squall (1996),Action|Adventure|Drama,3.483402971216342
87,Dunston Checks In (1996),Children|Comedy,2.3596311475409837
88,Black Sheep (1996),Comedy,3.1076274671052633
89,Nick of Time (1995),Action|Thriller,3.139821373575608
90,"Journey of August King, The (1995)",Drama,3.357476635514019
92,Mary Reilly (1996),Drama|Horror|Thriller,2.8541033434650456
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,2.528738555442523
94,Beautiful Girls (1996),Comedy|Drama|Romance,3.526923076923077
95,Broken Arrow (1996),Action|Adventure|Thriller,3.0946435034382915
96,In the Bleak Midwinter (1995),Comedy|Drama,3.6873706004140785
97,"Hate (Haine, La) (1995)",Crime|Drama,3.9964340295466125
98,Shopping (1994),Action|Thriller,2.4876543209876543
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3.105371900826446
100,City Hall (1996),Drama|Thriller,3.22138517618469
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,3.786295951605398
102,Mr. Wrong (1996),Comedy,2.4294678714859437
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,3.2691968225948806
104,Happy Gilmore (1996),Comedy,3.4170806586659226
105,"Bridges of Madison County, The (1995)",Drama|Romance,3.326299376299376
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,3.4440298507462686
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,3.2153387703889584
108,Catwalk (1996),Documentary,3.092
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,2.0625
110,Braveheart (1995),Action|Drama|War,4.042533802004873
111,Taxi Driver (1976),Crime|Drama|Thriller,4.110575548384461
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,3.412573591253154
113,Before and After (1996),Drama|Mystery,3.1092745638200183
114,Margaret's Museum (1995),Drama,3.619433198380567
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,3.4078947368421053
116,Anne Frank Remembered (1995),Documentary,3.9373024236037937
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3.589398734177215
118,If Lucy Fell (1996),Comedy|Romance,3.0110035211267605
119,"Steal Big, Steal Little (1995)",Comedy,2.772727272727273
120,Race the Sun (1996),Adventure|Comedy|Drama,2.880952380952381
121,"Boys of St. Vincent, The (1992)",Drama,3.7532855436081243
122,Boomerang (1992),Comedy|Romance,2.8676697530864197
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,3.9692507579038545
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,3.498432601880878
125,Flirting With Disaster (1996),Comedy,3.7556850483229107
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,2.312136627906977
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,3.2560975609756095
128,Jupiter's Wife (1994),Documentary,3.5
129,Pie in the Sky (1996),Comedy|Romance,3.163157894736842
130,Angela (1995),Drama,3.1153846153846154
131,Frankie Starlight (1995),Drama|Romance,3.2912371134020617
132,Jade (1995),Thriller,2.773198304286387
133,Nueba Yol (1995),Comedy|Drama,2.6052631578947367
134,Sonic Outlaws (1995),Documentary,3.6527777777777777
135,Down Periscope (1996),Comedy,2.9980174464710547
136,From the Journals of Jean Seberg (1995),Documentary,3.549019607843137
137,Man of the Year (1995),Documentary,3.2853982300884956
138,"Neon Bible, The (1995)",Drama,3.2846715328467155
139,Target (1995),Action|Drama,3.073170731707317
140,Up Close and Personal (1996),Drama|Romance,3.2938103686181748
141,"Birdcage, The (1996)",Comedy,3.5122161671207994
142,Shadows (Cienie) (1988),Drama,3.0609756097560976
143,Gospa (1995),Drama,2.142857142857143
144,"Brothers McMullen, The (1995)",Comedy,3.4771365149833517
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,3.2507724425887266
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,2.9120689655172414
147,"Basketball Diaries, The (1995)",Drama,3.5829286061194754
148,"Awfully Big Adventure, An (1995)",Drama,2.8893557422969187
149,Amateur (1994),Crime|Drama|Thriller,3.6943171402383133
150,Apollo 13 (1995),Adventure|Drama|IMAX,3.86859786089541
151,Rob Roy (1995),Action|Drama|Romance|War,3.539037729866836
152,"Addiction, The (1995)",Drama|Horror,3.1044546850998462
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,2.894727234003712
154,Beauty of the Day (Belle de jour) (1967),Drama,3.8019933554817276
155,Beyond Rangoon (1995),Adventure|Drama|War,3.4079153605015673
156,Blue in the Face (1995),Comedy|Drama,3.5279615153337343
157,Canadian Bacon (1995),Comedy|War,2.7846687211093992
158,Casper (1995),Adventure|Children,2.932
159,Clockers (1995),Crime|Drama|Mystery,3.4169484361792053
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,2.6047444036084197
161,Crimson Tide (1995),Drama|Thriller|War,3.744201794481124
162,Crumb (1994),Documentary,4.009924937447873
163,Desperado (1995),Action|Romance|Western,3.445394874659591
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,3.46358511837655
